,area,bedroom,price,location
755,160,3,13500000,มีนบุรี
756,118,4,11000000,มีนบุรี
757,16,2,1790000,มีนบุรี
758,65,4,7300000,มีนบุรี
759,23,4,2350000,มีนบุรี
760,77,5,5800000,มีนบุรี
761,20.8,4,2290000,มีนบุรี
762,67,4,2900000,มีนบุรี
763,426,6,8900000,มีนบุรี
764,50.6,3,5000000,มีนบุรี
765,100,5,4900000,มีนบุรี
766,133,4,8900000,มีนบุรี
767,25,3,2498000,มีนบุรี
768,240,2,16500000,มีนบุรี
769,50,2,6290000,มีนบุรี
770,50,3,5250000,มีนบุรี
771,16,2,1300000,มีนบุรี
772,75.2,2,6500000,มีนบุรี
773,52,3,5500000,มีนบุรี
774,17,2,1850000,มีนบุรี
775,32,2,4300000,มีนบุรี
776,22,2,3500000,มีนบุรี
777,300,4,22500000,มีนบุรี
778,19.5,3,2850000,มีนบุรี
779,19.6,3,2950000,ราษฎร์บูรณะ
780,19.6,3,2950000,ราษฎร์บูรณะ
781,16,3,1890000,ราษฎร์บูรณะ
782,26,2,2490000,ราษฎร์บูรณะ
783,105,4,8500000,ราษฎร์บูรณะ
